mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
"Activation of efferent neural circuits of the autonomic nervous system (e.g., cholinergic antiinflammatory pathway) through muscarinic receptors",inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Endogenous opioid action on NRL neurons,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of dopamine homeostasis and rCBV changes in brain circuits,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of striatal dopamine release via Glu/GABA release,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Spinal alpha2-adrenoceptor mechanisms,adrenoceptor,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Up-regulation of angiogenesis factors (VEGF, Ang-1) and down-regulation of anti-angiogenesis factors (endostatin)",STAT,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Kappa-opioid receptor activation,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Activation of endogenous opioid pathways,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of the p53/SLC7A11 axis and inhibition of ferroptosis,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
GABA-mediated microbiome-gut-brain axis modulation,microbiome,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Modulation of intestinal microbiota and palmitic acid metabolism,intestinal microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Modulation of miR-291a-3p/miR-294-3p/miR-295-3p and TLR/p53 signaling,TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of VTA-NAc dopaminergic projections,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of oxidative stress via MAPK and glutathione metabolism pathways,MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of the hypothalamic GnRH-tanycyte unit and Itgb1 expression,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Regulation of microRNAs (miR-154-5p, miR-300-5p, miR-376c-5p) and MAP3K1",miR-,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Inhibition of NLRP3/Caspase-1/GSDMD pyroptosis pathway,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
COX-2/mPGES-1/PGE2 pathway activation and β-endorphin release,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
MOR activation and GABAergic neuron inhibition in the insular cortex,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
JNK signaling pathway inhibition,JNK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of thalamic VAL CaMKIIα-positive neurons,CaMKII,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
rACC-vlPAG neural circuit activation,PAG,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
TLR4/NF-κB signaling inhibition,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Thalamo-cortico-limbic circuit inhibition,thalamo-cortico,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
p38 MAPK/CREB pathway modulation,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
DBI and GABAA1 expression upregulation,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Microbiota-metabolized LPS/NLRP3 pathway modulation,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
PI3K/AKT/mTOR pathway activation,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
GR/GILZ signaling pathway modulation,GR/GILZ,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
COX-2/NF-κB/NLRP3 pathway modulation,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Mediation of the PKA signaling pathway,PKA signaling,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Activation of the rACC-DRN neural circuit,neural circuit,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Enhancement of AMPK-mediated glycolipid metabolism and autophagy,autophagy,Other,Other,Other,Other,Other,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Modulation of BLA-ACC neural circuit,neural circuit,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Activation of ACC GABAergic neurons,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of p38 MAPK/CREB pathway,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Modulation of hypothalamic neurotransmitter metabolism,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Inhibition of IL-BLA neural circuit,neural circuit,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Activation of AKT/mTOR signaling pathway,AKT,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Regulation of gut microbiota, short-chain fatty acids (SCFAs), and GLP-1",gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
PD-L1/PD-1-SHP-1 pathway upregulation,PD-L1,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Promoting mitophagy and inhibiting oxidative stress/inflammation,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Suppressing the TLR2/4-MyD88-NF-κB signaling pathway,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Neuroendocrine circRNA-miRNA-mRNA networks and HPA axis regulation,HPA axis,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Nrf2/HO-1 signaling pathway modulation and microglia polarization,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Electroacupuncture upregulates PACAP38 mRNA and protein expression in the bladder, reversing diabetic bladder remodeling by reducing apoptosis, fibrosis, and abnormal smooth muscle/collagen remodeling",ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Tet1-mediated restoration of adult neurogenesis,neurogenesis,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of P2X7 receptor in spinal cord astrocytes to downregulate NMDA receptor,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of ac4C modification of P16 mRNA to alter P16/CDK6/CCND1 axis activity,CDK6,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Downregulating Alas2 to inhibit apoptosis, oxidative stress, and mitochondrial dysfunction",oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Restoring estrogen and progesterone balance, regulating implantation window",estrogen,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
LncMEG3-mediated inhibition of miR-21-3p,miR-,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Activation of peripheral FPR2/ALX and IL-10 increase,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulating autophagy and suppressing NF-κB,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of KOR and inhibition of GABAergic neurons in the insular cortex,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Adenosine A2AR-mediated alteration of p38α MAPK signaling,MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of the CAMK II/CREB pathway,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Regulation of the rACC-DRN neural circuit,neural circuit,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Upregulation of PKA/CREB and BDNF/TrkB signaling,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of the STING/IFN-1 pathway,STING,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Rostral anterior cingulate cortex-ventrolateral periaqueductal gray circuit modulation,periaqueductal gray,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Activation of brown adipose tissue via sympathetic innervation,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Regulation of gut microbiome,microbiome,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Lateral Hypothalamic (LH) orexin neuronal signaling,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Modulation of infralimbic medial prefrontal cortex activity,prefrontal cortex,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Inhibition of hippocampal inflammatory response and metabolic disorders,inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of Eotaxin/CCR3 axis to weak EOS-MC activation,CCR3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of AMPK/mTORC1/p70S6K signaling pathway,mTOR,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Downregulation of neuronal TRPV1 expression to inhibit NF-κB signaling pathway-mediated anti-apoptosis,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of TLR4/MyD88 signaling pathway to attenuate immune-inflammatory response,TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Regulation of visceral fat, brown fat, and intestinal flora",intestinal flora,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Activation of autophagy through AMPK/mTOR pathway,autophagy,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
cAMP/CREB/BDNF and PI3K/Akt pathways regulation,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Dopamine receptor D1/D2 regulation in basolateral amygdala,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
cAMP-PKA-TRPV1/PLC-PKC-TRPV1 signaling pathway modulation,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Bcl-2/Bax apoptosis pathway modulation,Bcl-2,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Electroacupuncture reduces obesity by demethylating the TSC1 promoter, suppressing hypothalamic mTOR/p70S6K signaling, and restoring autophagy (Beclin-1, LC3, p62) to decrease fat accumulation",hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
IMD inhibition of ER stress-mediated apoptosis and autophagy,ER stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Gut microbiota-gut-brain axis regulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
P2X7R/NLRP3 signaling pathway inhibition and inflammatory cytokine reduction,cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
TGF-β1/p38MAPK signaling pathway downregulation,MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
PI3K-AKT/JAK-STAT signal pathway regulation,JAK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Intestinal microbiota regulation to inhibit oxidative stress,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Hypothalamic NPY and ghrelin level regulation,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
TRPV1 regulation and urinary ATP reduction,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Liver and kidney metabolic regulation,metabolic regulation,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
